Simulation Number,Total Cells Percentage,Total Empty Cells Percentage,Total Trees Percentage,Total Trees On Fire Percentage
519,10000,38.9,35.410000000000004,25.69
520,10000,38.9,35.72,25.380000000000003
521,10000,38.59,35.44,25.97
522,10000,38.519999999999996,35.47,26.009999999999998
523,10000,38.7,35.32,25.979999999999997
524,10000,38.86,35.160000000000004,25.979999999999997
525,10000,39.18,34.97,25.85
526,10000,39.290000000000006,35.13,25.580000000000002
527,10000,38.05,36.69,25.259999999999998
528,10000,38.16,36.11,25.729999999999997
529,10000,38.03,35.55,26.419999999999998
530,10000,38.68,35.25,26.07
531,10000,38.82,35.04,26.14
532,10000,39.28,35.260000000000005,25.46
533,10000,38.53,35.79,25.679999999999996
534,10000,38.79,35.160000000000004,26.05
535,10000,38.37,35.870000000000005,25.759999999999998
536,10000,38.3,35.97,25.729999999999997
537,10000,38.129999999999995,35.96,25.91
538,10000,38.190000000000005,35.13,26.68
539,10000,39.33,35.11,25.56
540,10000,38.23,35.96,25.81
541,10000,38.29,35.35,26.36
542,10000,38.9,35.57,25.53
543,10000,38.940000000000005,35.25,25.81
544,10000,38.93,35.11,25.96
545,10000,39.629999999999995,34.79,25.580000000000002
546,10000,38.82,35.53,25.650000000000002
547,10000,38.71,35.480000000000004,25.81
548,10000,38.41,35.8,25.790000000000003
549,10000,39.17,34.9,25.929999999999996
550,10000,38.879999999999995,35.93,25.19
551,10000,38.86,35.5,25.64
552,10000,38.129999999999995,36.02,25.85
553,10000,38.15,35.83,26.02
554,10000,38.76,35.64,25.6
555,10000,38.73,35.55,25.72
556,10000,38.82,35.05,26.13
557,10000,38.440000000000005,35.730000000000004,25.83
558,10000,38.68,35.31,26.009999999999998
559,10000,38.12,36.08,25.8
560,10000,38.379999999999995,35.24,26.38
561,10000,39.67,34.699999999999996,25.629999999999995
562,10000,38.68,36.199999999999996,25.119999999999997
563,10000,38.54,35.410000000000004,26.05
564,10000,38.45,36.0,25.55
565,10000,39.47,34.589999999999996,25.94
566,10000,39.69,35.44,24.87
567,10000,38.78,36.13,25.09
568,10000,38.769999999999996,35.56,25.669999999999998
569,10000,38.23,35.980000000000004,25.790000000000003
570,10000,38.11,35.3,26.590000000000003
571,10000,38.879999999999995,34.98,26.14
572,10000,39.1,34.760000000000005,26.14
573,10000,38.98,35.56,25.46
574,10000,38.72,35.699999999999996,25.580000000000002
575,10000,38.11,35.58,26.31
576,10000,38.51,35.39,26.1
577,10000,38.440000000000005,35.91,25.650000000000002
578,10000,38.65,35.370000000000005,25.979999999999997
579,10000,39.08,35.18,25.740000000000002
580,10000,38.86,35.6,25.540000000000003
581,10000,38.46,35.9,25.64
582,10000,38.49,35.0,26.51
583,10000,38.72,35.27,26.009999999999998
584,10000,38.71,35.22,26.07
585,10000,39.269999999999996,34.92,25.81
586,10000,38.7,36.1,25.2
587,10000,37.46,36.54,26.0
588,10000,38.15,35.339999999999996,26.51
589,10000,38.85,35.17,25.979999999999997
590,10000,39.24,34.92,25.840000000000003
591,10000,38.81,35.91,25.28
592,10000,37.86,36.05,26.090000000000003
593,10000,38.269999999999996,34.83,26.900000000000002
594,10000,40.08,34.11,25.81
595,10000,39.910000000000004,34.94,25.15
596,10000,39.79,35.52,24.69
597,10000,38.11,36.480000000000004,25.41
598,10000,38.800000000000004,34.78,26.419999999999998
599,10000,38.769999999999996,36.120000000000005,25.11
600,10000,38.01,35.44,26.55
601,10000,38.97,34.910000000000004,26.119999999999997
602,10000,39.14,35.05,25.81
603,10000,39.12,35.32,25.56
604,10000,38.279999999999994,36.16,25.56
605,10000,38.21,35.24,26.55
606,10000,38.93,34.86,26.21
607,10000,39.08,35.0,25.919999999999998
608,10000,39.5,35.709999999999994,24.79
609,10000,38.06,36.52,25.419999999999998
610,10000,37.84,36.08,26.08
611,10000,39.14,34.37,26.490000000000002
612,10000,39.09,36.01,24.9
613,10000,38.440000000000005,36.21,25.35
614,10000,38.89,34.96,26.150000000000002
615,10000,38.84,35.27,25.89
616,10000,39.410000000000004,35.17,25.419999999999998
617,10000,38.84,35.17,25.990000000000002
618,10000,39.1,35.07,25.83
619,10000,38.45,35.97,25.580000000000002
620,10000,37.4,36.61,25.990000000000002
621,10000,38.62,35.08,26.3
622,10000,38.79,35.19,26.02
623,10000,39.03,35.370000000000005,25.6
624,10000,38.17,35.9,25.929999999999996
625,10000,38.65,35.61,25.740000000000002
626,10000,38.15,36.02,25.83
627,10000,38.33,34.96,26.71
628,10000,38.99,35.08,25.929999999999996
629,10000,38.93,35.25,25.82
630,10000,38.57,35.709999999999994,25.72
631,10000,38.17,35.96,25.869999999999997
632,10000,37.86,35.91,26.229999999999997
633,10000,38.800000000000004,34.870000000000005,26.33
634,10000,39.36,35.23,25.41
635,10000,40.08,34.5,25.419999999999998
636,10000,38.62,36.559999999999995,24.82
637,10000,37.86,35.47,26.669999999999998
638,10000,38.71,35.17,26.119999999999997
639,10000,38.87,35.94,25.19
640,10000,38.83,35.55,25.619999999999997
641,10000,38.4,35.89,25.71
642,10000,38.879999999999995,35.4,25.72
643,10000,38.78,35.53,25.69
644,10000,37.84,36.620000000000005,25.540000000000003
645,10000,37.93,35.85,26.22
646,10000,38.379999999999995,35.82,25.8
647,10000,39.22,34.8,25.979999999999997
648,10000,39.35,35.3,25.35
649,10000,38.62,36.1,25.28
650,10000,38.31,35.69,26.0
651,10000,38.550000000000004,35.14,26.31
652,10000,38.58,35.07,26.35
653,10000,38.769999999999996,35.53,25.7
654,10000,38.550000000000004,35.339999999999996,26.11
655,10000,38.74,35.67,25.590000000000003
656,10000,38.37,35.86,25.77
657,10000,38.5,35.08,26.419999999999998
658,10000,39.78,34.21,26.009999999999998
659,10000,40.160000000000004,34.75,25.09
660,10000,38.78,36.6,24.62
661,10000,38.24,35.86,25.900000000000002
662,10000,38.32,35.72,25.96
663,10000,38.690000000000005,35.3,26.009999999999998
664,10000,38.79,35.14,26.07
665,10000,38.65,36.07,25.28
666,10000,38.71,34.410000000000004,26.88
667,10000,39.25,35.05,25.7
668,10000,39.269999999999996,35.15,25.580000000000002
669,10000,38.42,35.82,25.759999999999998
670,10000,38.57,35.76,25.669999999999998
671,10000,37.730000000000004,36.27,26.0
672,10000,38.190000000000005,35.32,26.490000000000002
673,10000,38.64,35.03,26.33
674,10000,39.08,35.010000000000005,25.91
675,10000,38.769999999999996,35.97,25.259999999999998
676,10000,38.24,35.75,26.009999999999998
677,10000,38.7,34.55,26.75
678,10000,39.68,34.089999999999996,26.229999999999997
679,10000,39.53,35.24,25.230000000000004
680,10000,38.45,36.05,25.5
